Category,Account,Scenario,2024,2025,2026,2027,2028,2029,2030,2031
Pendapatan,Membership,Optimistic,3870150307.672497,4658675729.968195,5607859600.173255,6750435342.163222,8125805665.198618,9781401400.315403,11774317193.414394,14173280463.335602
Pendapatan,Total Pendapatan,Optimistic,3870150307.672497,4658675729.968195,5607859600.173255,6750435342.163222,8125805665.198618,9781401400.315403,11774317193.414394,14173280463.335602
Pendapatan,nan,Optimistic,,,,,,,,
Beban,Beban Operasional,Optimistic,190800000.0,196290000.0,202459500.0,209301975.0,216814623.75,224998149.9375,233856572.93437502,243397065.53109378
Beban,Beban Marketing,Optimistic,1511845000.0,1582207250.0,1656106862.5,1733722630.625,1815242479.65625,1900863942.8890624,1990794663.2085156,2085252921.8614414
Beban,Beban Gaji,Optimistic,1122600000.0,1110600000.0,1134600000.0,1134600000.0,1158600000.0,1140600000.0,1170600000.0,1170600000.0
Beban,Beban Pendukung,Optimistic,299687500.0,256875000.0,214062500.0,171250000.0,128437500.0,85625000.0,42812500.0,0.0
Beban,Beban Lain-lain,Optimistic,312493250.0,314597225.0,320722886.25,324887460.5625,331909460.34062505,335208709.28265625,343806373.61428905,349924998.7392535
Beban,Total Beban,Optimistic,3437425750.0,3460569475.0,3527951748.75,3573762066.1875,3651004063.746875,3687295802.1092186,3781870109.7571793,3849174986.1317887
Beban,nan,Optimistic,,,,,,,,
Beban,EBITDA,Optimistic,432724557.6724968,1198106254.968195,2079907851.423255,3176673275.9757223,4474801601.451743,6094105598.206184,7992447083.657215,10324105477.203814
Beban,Depresiasi,Optimistic,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0
Beban,Interest Expense,Optimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beban,nan,Optimistic,,,,,,,,
Beban,EBT,Optimistic,389912057.6724968,1155293754.968195,2037095351.423255,3133860775.9757223,4431989101.451743,6051293098.206184,7949634583.657215,10281292977.203814
Beban,"Taxes 0,5%",Optimistic,19350751.538362484,23293378.649840977,28039298.000866275,33752176.710816115,40629028.32599309,48907007.00157701,58871585.96707197,70866402.31667802
Beban,nan,Optimistic,,,,,,,,
Beban,Net Income,Optimistic,370561306.1341343,1132000376.318354,2009056053.4223888,3100108599.2649064,4391360073.12575,6002386091.204607,7890762997.690144,10210426574.887136
Beban,nan,Optimistic,,,,,,,,
Beban,nan,Optimistic,761439070.1842196,,877055677.1040349,,1291251473.8608432,,1888376906.4855366,
Beban,nan,Optimistic,2.0548261720250873,1.1017958843069138,0.5922167119671106,0.47987668895931673,,,,
Beban,nan,Optimistic,1.0571788643146072,,,,,,,
Pendapatan,Membership,Moderate,3613739165.8802776,4157109543.2885675,4782182377.208521,5501242642.452124,6328422511.731827,7279979104.71056,8374614000.056545,9633840790.0872
Pendapatan,Total Pendapatan,Moderate,3613739165.8802776,4157109543.2885675,4782182377.208521,5501242642.452124,6328422511.731827,7279979104.71056,8374614000.056545,9633840790.0872
Pendapatan,nan,Moderate,,,,,,,,
Beban,Beban Operasional,Moderate,190800000.0,196290000.0,202459500.0,209301975.0,216814623.75,224998149.9375,233856572.93437502,243397065.53109378
Beban,Beban Marketing,Moderate,1511845000.0,1582207250.0,1656106862.5,1733722630.625,1815242479.65625,1900863942.8890624,1990794663.2085156,2085252921.8614414
Beban,Beban Gaji,Moderate,1122600000.0,1110600000.0,1134600000.0,1134600000.0,1158600000.0,1140600000.0,1170600000.0,1170600000.0
Beban,Beban Pendukung,Moderate,299687500.0,256875000.0,214062500.0,171250000.0,128437500.0,85625000.0,42812500.0,0.0
Beban,Beban Lain-lain,Moderate,312493250.0,314597225.0,320722886.25,324887460.5625,331909460.34062505,335208709.28265625,343806373.61428905,349924998.7392535
Beban,Total Beban,Moderate,3437425750.0,3460569475.0,3527951748.75,3573762066.1875,3651004063.746875,3687295802.1092186,3781870109.7571793,3849174986.1317887
Beban,nan,Moderate,,,,,,,,
Beban,EBITDA,Moderate,176313415.88027763,696540068.2885675,1254230628.458521,1927480576.2646236,2677418447.984952,3592683302.6013412,4592743890.299366,5784665803.955412
Beban,Depresiasi,Moderate,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0
Beban,Interest Expense,Moderate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beban,nan,Moderate,,,,,,,,
Beban,EBT,Moderate,133500915.88027763,653727568.2885675,1211418128.458521,1884668076.2646236,2634605947.984952,3549870802.6013412,4549931390.299366,5741853303.955412
Beban,"Taxes 0,5%",Moderate,18068695.82940139,20785547.71644284,23910911.886042606,27506213.21226062,31642112.558659136,36399895.5235528,41873070.00028273,48169203.950436
Beban,nan,Moderate,,,,,,,,
Beban,Net Income,Moderate,115432220.05087624,632942020.5721247,1187507216.5724783,1857161863.052363,2602963835.426293,3513470907.0777884,4508058320.299084,5693684100.004976
Beban,nan,Moderate,,,,,,,,
Beban,nan,Moderate,517509800.52124846,,554565196.0003536,,745801972.37393,,994587413.2212954,
Beban,nan,Moderate,4.483235272553523,1.1017958843069138,0.5922167119671106,0.47987668895931673,,,,
Beban,nan,Moderate,1.6642811394467163,,,,,,,
Pendapatan,Membership,Pessimistic,3374046048.4236627,3708549789.402271,4076216312.1339507,4480333382.819414,4924514717.595394,5412732297.290095,5949351885.871341,6539172070.202215
Pendapatan,Total Pendapatan,Pessimistic,3374046048.4236627,3708549789.402271,4076216312.1339507,4480333382.819414,4924514717.595394,5412732297.290095,5949351885.871341,6539172070.202215
Pendapatan,nan,Pessimistic,,,,,,,,
Beban,Beban Operasional,Pessimistic,190800000.0,196290000.0,202459500.0,209301975.0,216814623.75,224998149.9375,233856572.93437502,243397065.53109378
Beban,Beban Marketing,Pessimistic,1511845000.0,1582207250.0,1656106862.5,1733722630.625,1815242479.65625,1900863942.8890624,1990794663.2085156,2085252921.8614414
Beban,Beban Gaji,Pessimistic,1122600000.0,1110600000.0,1134600000.0,1134600000.0,1158600000.0,1140600000.0,1170600000.0,1170600000.0
Beban,Beban Pendukung,Pessimistic,299687500.0,256875000.0,214062500.0,171250000.0,128437500.0,85625000.0,42812500.0,0.0
Beban,Beban Lain-lain,Pessimistic,312493250.0,314597225.0,320722886.25,324887460.5625,331909460.34062505,335208709.28265625,343806373.61428905,349924998.7392535
Beban,Total Beban,Pessimistic,3437425750.0,3460569475.0,3527951748.75,3573762066.1875,3651004063.746875,3687295802.1092186,3781870109.7571793,3849174986.1317887
Beban,nan,Pessimistic,,,,,,,,
Beban,EBITDA,Pessimistic,-63379701.57633734,247980314.4022708,548264563.3839507,906571316.6319141,1273510653.8485193,1725436495.1808767,2167481776.1141615,2689997084.0704265
Beban,Depresiasi,Pessimistic,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0,42812500.0
Beban,Interest Expense,Pessimistic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beban,nan,Pessimistic,,,,,,,,
Beban,EBT,Pessimistic,-106192201.57633734,205167814.4022708,505452063.3839507,863758816.6319141,1230698153.8485193,1682623995.1808767,2124669276.1141615,2647184584.0704265
Beban,"Taxes 0,5%",Pessimistic,16870230.242118314,18542748.947011355,20381081.560669754,22401666.91409707,24622573.58797697,27063661.48645048,29746759.429356705,32695860.351011075
Beban,nan,Pessimistic,,,,,,,,
Beban,Net Income,Pessimistic,-123062431.81845565,186625065.45525944,485070981.82328093,841357149.7178171,1206075580.2605424,1655560333.6944263,2094922516.6848047,2614488723.719415
Beban,nan,Pessimistic,,,,,,,,
Beban,nan,Pessimistic,309687497.2737151,,298445916.3680215,,364718430.5427253,,439362182.9903784,
Beban,nan,Pessimistic,-2.5165072126201173,1.1017958843069138,0.5922167119671106,0.47987668895931673,,,,
Beban,nan,Pessimistic,-0.08565448184669407,,,,,,,
